u,v,d
65335612,65292985,2805.0794850270368
65296094,65341395,8021.006597680708
65345601,258910924,8160.426369693199
65327328,6311883023,10550.503795869676
65289209,65297954,5450.834143896316
65324997,767834405,16505.302200476166
65293022,65333602,4945.947086422323
65327963,65306198,1187.8119541384046
65336924,65321062,9582.689518754456
65341699,4627636311,5189.828202844826
65293540,65302291,4540.4199607940345
4008988328,65307109,10765.830640825956
65352679,65308483,7843.832716741239
65303668,65332858,6155.462320644806
65337515,1501320639,5014.310540974083
65292780,65305034,6538.164031498162
9580454512,10248388984,1653.5128131086612
4070801144,65328224,inf
65325061,259394880,2297.1649093806514
65298992,313868343,8885.276196969224
65316464,258967897,6495.582494372619
1718880014,65324327,9280.531626941258
6319217961,65309526,1965.4835283889613
65308402,65301198,7540.619107968654
65324983,65299296,8879.589089501489
65356290,4023019342,2482.81079771088
258756008,65303886,6637.965737839978
65311556,1677788981,5128.021816878952
420508876,4038238638,630.4251625059484
258916776,65287691,4205.174559250139
65345601,2449296877,2654.167585362854
360447866,259407844,2684.77733392148
65304987,9602564585,3911.300329106153
612715052,65335256,11777.709425179175
65295162,65364086,18475.21559127934
65285626,65300999,1582.9679966115364
8170614555,65317141,4099.278600332243
65287668,2922128564,7632.684268482391
65289426,65333834,8501.795637354795
65327931,65280323,7567.980750861348
65293047,65352450,9974.180980156747
65360261,9691602667,5043.929360217911
65289156,4035920545,7714.565992110692
1121325984,65305101,2990.8977915313694
65373669,65318544,7006.510878873523
65328478,65299624,5571.4857004863625
65287458,8274993660,3896.700441344119
65306580,338899630,6846.499591118021
65289351,65325009,6914.119020178678
65302184,65309724,6069.680357951937
2420468425,3742028876,9345.07189772496
65287649,65339521,5791.5857748854505
65336123,65313422,5701.00770458026
65340848,65328994,4341.390031147755
65299748,65332321,6845.506049983055
65307352,65317782,4596.748651277254
65305897,65304099,7846.899274787518
4003624580,340164576,7798.555030946936
65329133,539989855,4251.339374392999
65345592,1714229763,2161.933908752064
65349481,65324782,10546.416777306116
65309297,65289075,8756.276775900102
65329843,65309079,655.3266947983633
65280083,65306568,1517.5545571267185
65299144,65289314,6687.416926563168
65303987,65307796,1147.1036299884377
9691602671,6352714176,8214.378933967448
65318719,65359314,6557.726703723513
65305070,65287201,5584.201415364896
65296385,65324807,4985.02782836969
65306774,65349387,4025.1854683171414
65345554,65306138,2638.7868979365344
65321083,65297322,10031.736571702606
302034179,65351939,5365.185292266402
65318060,65333949,5075.821375791701
6329528602,65296368,6399.050849593894
65365911,9691602710,5157.001092170917
65297210,65340605,3228.9467934739996
260168596,65341406,6176.418321086741
65319983,2304626360,4069.204526358294
768239306,65350803,8579.60470952227
295191216,258972887,11215.492682555285
65312638,65316818,13240.726680167763
65312638,612767847,444.2401526089952
65309652,65313614,10928.274921011283
65349063,65340578,6977.665601384747
65293108,65298790,5642.995416923881
65336409,65317120,10624.241074487756
65324498,65314855,12689.000314253713
65357989,65325192,4591.876293006938
